12/01/2018 03:42,,,,
Código,Descrição,Início de Vigência,Fim de Vigência,Classe Mercadoria Perigosa
82,"EXPLOSIVO DE DESMONTE DO TIPO B  REF.: 0331,",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
83,EXPLOSIVO DE DESMONTE DO TIPO C,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
84,EXPLOSIVO DE DESMONTE DO TIPO D,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
92,"DISPOSITIVOS ILUMINANTES DE SUPERFÍCIE  REF.: 0418, 0419",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
93,"DISPOSITIVOS ILUMINANTES AÉREOS  REF.: 0403, 0404, 0420, 0421",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
94,PÓ RELÂMPAGO REF.: 0305,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
99,TORPEDOS DE PERFURAÇÃO EXPLOSIVOS SEM DETONADOR PARAPOÇOS DE PETRÓLEO,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
101,MECHA NÃO DETONANTE,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
102,CORDÃO DETONANTE COM INVÓLUCRO METÁLICO  REF.: 0290,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
103,CORDÃO DE INFLAMAÇÃO COM INVÓLUCRO METÁLICO,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
104,CORDÃO DETONANTE DE CARGA REDUZIDA COM INVÓLUCROMETÁLICO,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
105,MECHA DE MINEIRO (RASTILHO OU CORDÃO BICKFORD),2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
106,"ESPOLETAS DETONADORAS  REF.: 0107, 0257, 0367",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
110,"GRANADAS DE EXERCÍCIO DE MÃO OU DE ESPINGARDA REF.: 0318, 0372, 0452",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
113,GUANIL NITROSA-MINOGUANILIDENO HIDRAZINA HUMEDECIDOCOM PELO MENOS 30% (MASSA) DE ÁGUA,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
114,GUANIL NITROSA-MINOGUANILTETRAZENO (TETRAZENO)HUMEDECIDO COM PELO MENOS 30% (MASSA) DE ÁGUA ,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
118,"HEXOLITE (HEXOTOL), SECA OU HUMEDECIDA COM MENOS DE 15%(MASSA) DE ÁGUA",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
121,"INFLAMADORES (ACENDEDORES) REF.: 0314, 0315, 0325, 0454",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
124,"PERFURADORES DE CARGA OCA, PARA POÇOS DE PETRÓLEO, SEMDETONADOR REF.: 0494",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
129,AZOTETO DE CHUMBO HUMEDECIDO COM PELO MENOS 20%(MASSA) DE ÁGUA OU DE UMA MISTURA DE ÁLCOOL E ,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
130,ESTIFNATO DE CHUMBO (TRINITRORESORCINATO DECHUMBO) HUMEDECIDO COM PELO MENOS 20% (MASSA) DE ,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
131,ACENDEDORES PARA MECHA DE MINEIRO,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
132,"SAIS METÁLICOS DEFLAGRANTES DE DERIVADOS NITRADOSAROMÁTICOS, N.S.A.",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
133,"HEXANITRATO DE MANITOL (NITROMANITE), HUMEDECIDOCOM PELO MENOS 40% (MASSA) DE ÁGUA (OU DE UMA ",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
135,FULMINATO DE MERCÚRIO HUMEDECIDO COM PELO MENOS 20%(MASSA) DE ÁGUA (OU DE UMA MISTURA DE ,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
136,"MINAS COM CARGA DE REBENTAMENTO REF.: 0137, 0138, 0294",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
143,NITROGLICERINA DESSENSIBILIZADA COM PELO MENOS 40%(MASSA) DE FLEUMATIZANTE NÃO VOLÁTIL INSOLÚVEL ,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
144,NITROGLICERINA EM SOLUÇÃO ALCOÓLICA COM MAIS DE 1% MASNO MÁXIMO COM 10% DE NITROGLICERINA,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
146,NITROAMIDO SECO OU HUMEDECIDO COM MENOS DE 20% (MASSA) DE ÁGUA,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
147,NITRO-UREIA,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
150,"TETRANITRATO DE PENTAERITRITE (TETRANITRATO DEPENTAERITRITOL, PENTRITE, PETN), HUMEDECIDO COM ",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
151,PENTOLITE SECA OU HUMEDECIDA COM MENOS DE 15% (MASSA) DE ÁGUA,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
153,TRINITROANILINA (PICRAMIDA),2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
154,TRINITROFENOL (ÁCIDO PÍCRICO) SECO OU HUMEDECIDO COM MENOSDE 30% (MASSA) DE ÁGUA,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
155,TRINITROCLOROBENZENO (CLORETO DE PICRILO),2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
159,PASTA DE PÓLVORA (GALETE) HUMEDECIDA COM PELO MENOS 25%(MASSA) DE ÁGUA,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
160,"PÓLVORA SEM FUMO REF.: 0161, 0509",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
167,"PROJÉCTEIS COM CARGA DE REBENTAMENTO REF.: 0168, 0169, 0324, 0344",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
171,"MUNIÇÕES ILUMINANTES COM OU SEM CARGA DE DISPERSÃO, CARGA DEEXPULSÃO OU CARGA PROPULSORA REF.: ",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
173,DISPOSITIVOS DE FIXAÇÃO EXPLOSIVOS,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
174,REBITES EXPLOSIVOS,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
180,"FOGUETES COM CARGA DE REBENTAMENTO  REF.: 0181, 0182, 0295",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
183,FOGUETES COM OGIVA INERTE  REF.: 0502,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
186,"MOTORES DE FOGUETE REF.: 0280, 0281",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
190,"AMOSTRAS DE EXPLOSIVOS, QUE NÃO SEJAM EXPLOSIVOS INICIADORES",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
191,ARTIFÍCIOS DE SINALIZAÇÃO DE MÃO REF.: 0373,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
192,"PETARDOS DE SINAIS A MAQUINISTAS REF.: 0193, 0492, 0493",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
194,"SINAIS DE PEDIDO DE SOCORRO DE NAVIOS REF.: 0195, 0505, 0506",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
196,"SINAIS FUMÍGENOS REF.: 0197, 0313, 0487, 0507",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
204,"CÁPSULAS DE SONDAGEM EXPLOSIVAS  REF.: 0296, 0374, 0375",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
207,TETRANITROANILINA,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
208,TRINITROFENILMETILNITRAMINA (TETRIL),2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
209,"TRINITROTOLUENO (TROTIL, TNT) SECO OU HUMEDECIDO COM MENOSDE 30% (MASSA) DE ÁGUA",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
212,TRAÇADORES PARA MUNIÇÕES REF.: 0306,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
213,TRINITROANISOL,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
214,TRINITROBENZENO SECO OU HUMEDECIDO COM MENOS DE 30% (MASSA)DE ÁGUA,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
215,ÁCIDO TRINITROBENZÓICO SECO OU HUMEDECIDO COM MENOS DE 30%(MASSA) DE ÁGUA,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
216,TRINITRO-M-CRESOL,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
217,TRINITRONAFTALENO,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
218,TRINITROFENETOL,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
219,"TRINITRORESORCINOL (TRINITRORESORCINA, ÁCIDOESTÍFNICO) SECO OU HUMEDECIDO COM MENOS DE 20% ",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
220,NITRATO DE UREIA SECO OU HUMEDECIDO COM MENOS DE 20% (MASSA)DE ÁGUA,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
221,OGIVAS DE TORPEDO COM CARGA DE REBENTAMENTO,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
222,"NITRATO DE AMÓNIO CONTENDO MAIS DE 0,2% DE MATÉRIA COMBUSTÍVEL(COMPREENDENDO MATÉRIAS ",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
224,AZOTETO DE BÁRIO SECO OU HUMEDECIDO COM MENOS DE 50% (MASSA)DE ÁGUA,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
225,REFORÇADORES COM DETONADOR,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
226,"CICLOTETRAMETILENOTETRANITRAMINA (OCTOGÉNIO,HMX), HUMEDECIDA COM PELO MENOS 15% (MASSA) DE ",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
234,DINITRO-O-CRESOLATO DE SÓDIO SECO OU HUMEDECIDO COM MENOSDE 15% (MASSA) DE ÁGUA,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
235,PICRAMATO DE SÓDIO SECO OU HUMEDECIDO COM MENOS DE 20%(MASSA) DE ÁGUA,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
236,PICRAMATO DE ZIRCÓNIO SECO OU HUMEDECIDO COM MENOS DE 20%(MASSA) DE ÁGUA,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
237,CORDÃO DETONANTE DE SECÇÃO PERFILADA  REF.: 0288,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
238,"FOGUETES LANÇA-CABOS  REF.: 0240, 0453",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
241,EXPLOSIVO DE DESMONTE DO TIPO E  REF.: 0332,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
242,"CARGAS PROPULSORAS PARA CANHÃO  REF.: 0279, 0414,",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
243,"MUNIÇÕES INCENDIÁRIAS DE FÓSFORO BRANCO COM CARGA DEDISPERSÃO, CARGA DE EXPULSÃO OU CARGA ",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
245,"MUNIÇÕES FUMÍGENAS DE FÓSFORO BRANCO COM CARGA DEDISPERSÃO, CARGA DE EXPULSÃO OU CARGA ",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
247,"MUNIÇÕES INCENDIÁRIAS CONTENDO LÍQUIDO OU GEL, COM CARGA DEDISPERSÃO, CARGA DE EXPULSÃO OU ",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
248,"FOGUETES HIDRO-REACTIVOS, COM CARGA DE DISPERSÃO, CARGA DEEXPULSÃO OU CARGA PROPULSORA  REF.: ",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
250,"PROPULSORES COM LÍQUIDOS HIPERGÓLICOS, COM OU SEM CARGADE EXPULSÃO REF.: 0322",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
266,OCTOLITE (OCTOL) SECA OU HUMEDECIDA COM MENOS DE 15% (MASSA) DEÁGUA,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
268,REFORÇADORES COM DETONADOR,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
271,"CARGAS PROPULSORAS  REF.: 0272, 0415, 0491",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
275,"CARTUCHOS PARA PIROMECANISMOS  REF.: 0276, 0323, 0381,",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
277,CARTUCHOS PARA POÇOS DE PETRÓLEO  REF.: 0278,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
282,NITROGUANIDINA (GUANITE) SECA OU HUMEDECIDA COM MENOS DE20% (MASSA) DE ÁGUA,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
284,"GRANADAS DE MÃO OU DE ESPINGARDA COM CARGA DE REBENTAMENTO REF.: 0285, 0292, 0293",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
286,OGIVAS DE FOGUETE COM CARGA DE REBENTAMENTO REF.: 0287,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
301,"MUNIÇÕES LACRIMOGÉNEAS COM OU SEM CARGA DE DISPERSÃO, CARGADE EXPULSÃO OU CARGA PROPULSORA",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
316,"ESPOLETAS INFLAMADORAS  REF.: 0317, 0368",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
319,"CÁPSULAS TUBULARES  REF.: 0320, 0376",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
326,CARTUCHOS SEM PROJÉCTIL PARA ARMAS  REF.: 0413,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
328,CARTUCHOS COM PROJÉCTIL INERTE PARA ARMAS,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
329,"TORPEDOS COM CARGA DE REBENTAMENTO REF.: 0330, 0451",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
333,"ARTIFÍCIOS DE DIVERTIMENTO REF.:0334,0335, 0336, 0337",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
340,NITROCELULOSE SECA OU HUMEDECIDA COM MENOS DE 25% (MASSA) DEÁGUA (OU DE ÁLCOOL),2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
341,NITROCELULOSE NÃO MODIFICADA OU PLASTIFICADA COM MENOS DE 18%(MASSA) DE PLASTIFICANTE,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
342,NITROCELULOSE HUMEDECIDA COM PELO MENOS 25% (MASSA) DEÁLCOOL,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
343,NITROCELULOSE PLASTIFICADA COM PELO MENOS 18% (MASSA) DEPLASTIFICANTE,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
345,"PROJÉCTEIS INERTES COM TRAÇADOR REF.: 0424, 0425",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
346,"PROJÉCTEIS COM CARGA DE DISPERSÃO OU CARGA DE EXPULSÃO REF.: 0347, 0426, 0427, 0434, 0435",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
357,"MATÉRIAS EXPLOSIVAS, N.S.A. REF.: 0358, 0359, 0473, 0474, 0475, 0476, 0477, 0478, 0479, 0480, 0481, 0485",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
360,"CONJUNTOS DETONADORES DE DESMONTE NÃO ELÉCTRICOS  REF.: 0361, 0500",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
362,MUNIÇÕES DE EXERCÍCIO REF.: 0488,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
363,MUNIÇÕES PARA ENSAIO,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
369,OGIVAS DE FOGUETES COM CARGA DE REBENTAMENTO,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
370,OGIVAS DE FOGUETES COM CARGA DE DISPERSÃO OU CARGA DE EXPULSÃO REF.: 0371,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
380,OBJECTOS PIROFÓRICOS,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
382,"COMPONENTES DE CADEIA PIROTÉCNICA, N.S.ª  REF.: 0383, 0384, 0461",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
385,NITRO-5 BENZOTRIAZOL,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
386,ÁCIDO TRINITROBENZENOSSULFÓNICO,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
387,TRINITROFLUORENONA,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
388,"TRINITROTOLUENO (TROTIL, TNT) EM MISTURA COMTRINITROBENZENO OU TRINITROTOLUENO (TROTIL, TNT) ",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
389,"TRINITROTOLUENO (TROTIL, TNT) EM MISTURA COMTRINITROBENZENO E HEXANITROESTILBENO",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
390,TRITONAL,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
391,"CICLOTRIMETILENOTRINITRAMINA (HEXOGÉNIO,CICLONITE, RDX) EM MISTURA COM ",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
392,HEXANITROESTILBENO,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
393,HEXOTONAL,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
394,TRINITRORESORCINOL (ÁCIDO ESTÍFNICO) HUMEDECIDO COM PELOMENOS 20% (MASSA) DE ÁGUA (OU DE UMA ,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
395,MOTORES DE FOGUETE A COMBUSTÍVEL LÍQUIDO REF.: 0396,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
397,FOGUETES A COMBUSTÍVEL LÍQUIDO COM CARGA DE REBENTAMENTO  REF.: 0398,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
399,BOMBAS COM LÍQUIDO INFLAMÁVEL COM CARGA DE REBENTAMENTO  REF.: 0400,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
401,SULFURETO DE DIPICRILO SECO OU HUMEDECIDO COM MENOS DE 10%(MASSA) DE ÁGUA,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
402,PERCLORATO DE AMÓNIO REF.: 1442,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
406,DINITROSOBENZENO,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
407,ÁCIDO TETRAZOL-1 ACÉTICO,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
408,"ESPOLETAS DETONADORAS COM DISPOSITIVOS DE SEGURANÇA  REF.: 0409, 0410",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
411,"TETRANITRATO DE PENTAERITRITE (TETRANITRATO DEPENTAERITRITOL, PENTRITE, PETN) COM PELO MENOS 7% ",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
428,"OBJECTOS PIROTÉCNICOS PARA USO TÉCNICO REF.: 0429, 0430, 0431, 0432",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
433,PASTA DE PÓLVORA (GALETE) HUMEDECIDA COM PELO MENOS 17%(MASSA) DE ÁLCOOL,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
