12/01/2018 04:13,,,,
Código,Descrição,Cód. Moeda,Início de Vigência,Fim de Vigência
2380,LIBOR PARA DEPOSITOS EM DOLARES CANADENSES A 6 MESES,165,13/06/1989,-
2389,LIBOR-USD P/DEPOSITOS MENSAIS,220,18/11/1993,-
2390,"LIBOR PARA DEPOSITOS EM DOLARES AMERICANOS, REAJUSTAVEL ""OVERNIGHT""",220,13/06/1989,-
2391,LIBOR PARA DEPOSITOS EM DOLARES AMERICANOS A 3 MESES,220,13/06/1989,-
2392,LIBOR PARA DEPOSITOS EM DOLARES A 6 MESES,220,13/06/1989,-
2393,LIBOR PARA DEPOSITOS EM DOLARES AMERICANOS A 12 MESES,220,13/06/1989,-
2394,LIBOR PARA DEPOSITOS EM DOLARES AMERICANOS A 24 MESES,220,28/04/1992,-
2395,LIBOR PARA DEPOSITOS EM DOLARES AMERICANOS A 36 MESES,220,13/06/1989,-
2396,LIBOR PARA DEPOSITOS EM DOLARES AMERICANOS A 48 MESES,220,13/06/1989,-
2397,LIBOR PARA DEPOSITOS EM DOLARES AMERICANOS A 60 MESES,220,13/06/1989,-
2398,LIBOR DOS ESTADOS UNIDOS PARA 9 MESES,220,21/03/1995,-
2399,LIBOR DOS ESTADOS UNIDOS PARA 4 MESES,220,26/04/1995,-
2400,LIBOR DOS ESTADOS UNIDOS PARA 18 MESES,220,08/04/1996,-
2401,LIBOR DOS ESTADOS UNIDOS PARA 2 MESES,220,22/08/1996,-
2420,LIBOR PARA DEPOSITOS EM FRANCOS BELGAS A 6 MESES,360,15/01/1993,-
2450,LIBOR PARA DEPOSITOS EM FRANCOS FRANCESES A 6 MESES,395,13/06/1989,-
2460,LIBOR PARA DEPOSITOS FRANCESES A 12 MESES,395,28/03/1996,-
2480,LIBOR PARA DEPOSITOS EM FLORINS HOLANDESES A 6 MESES,335,13/06/1989,-
2490,LIBOR- F. - 12 MESES,335,01/07/1997,-
2510,LIBOR PARA DEPOSITOS EM FRANCOS SUI¦OS A 3 MESES,425,13/06/1989,-
2511,LIBOR PARA DEPOSITOS EM FRANCOS SUI¦OS A 6 MESES,425,13/06/1989,-
2512,LIBOR PARA DEPOSITOS EM FRANCOS SUI¦OS A 12 MESES,425,13/06/1989,-
2513,LIBOR PARA DEPOSITOS EM FRANCOS SUI¦OS A 24 MESES,425,13/06/1989,-
2514,LIBOR PARA DEPOSITOS EM FRANCOS SUI¦OS A 36 MESES,425,15/08/1989,-
2515,LIBOR PARA DEPOSITOS EM FRANCOS SUI¦OS A 48 MESES,425,13/06/1989,-
2516,LIBOR PARA DEPOSITOS EM FRANCOS SUI¦OS A 60 MESES,425,13/06/1989,-
2540,LIBOR PARA DEPOSITOS EM IENES JAPONESES A 3 MESES,470,13/06/1989,-
2541,LIBOR PARA DEPOSITOS EM IENES JAPONESES A 6 MESES,470,13/06/1989,-
2542,LIBOR PARA DEPOSITOS EM IENES JAPONESES A 12 MESES,470,13/06/1989,-
2570,LIBOR PARA DEPOSITOS EM LIBRAS ESTERLINAS A 3 MESES,540,13/06/1989,-
2571,LIBOR PARA DEPOSITOS EM LIBRAS ESTERLINAS A 6 MESES,540,13/06/1989,-
2572,LIBOR PARA DEPOSITOS EM LIBRA ESTERLINAS A 12 MESES,540,10/04/1996,-
2580,LIBOR PARA_DEPOSITOS EM LIBRAS IRLANDESAS A 06 MESES,550,02/06/1993,-
2600,LIBOR PARA DEPOSITOS EM LIRAS ITALIANAS A 6 MESES,595,13/06/1989,-
2601,LIBOR PARA DEPOSITOS EM LIRAS ITALIANAS A 12 MESES,595,13/05/1993,-
2630,LIBOR PARA DEPOSITOS EM MARCOS ALEMAES A 3 MESES,610,13/06/1989,-
2631,LIBOR PARA DEPOSITOS EM MARCOES ALEMAES A 6 MESES,610,13/06/1989,-
2632,LIBOR PARA DEPOSITOS EM MARCOS ALEMAES A 12 MESES,610,13/06/1989,-
2633,LIBOR PARA DEPOSITOS EM MARCOS ALEMAES A 24 MESES,610,13/06/1989,-
2634,LIBOR PARA DEPOSITOS EM MARCOS ALEMAES A 36 MESES,610,13/06/1989,-
2635,LIBOR PARA DEPOSITOS EM MARCOS ALEMAES A 48 MESES,610,13/06/1989,-
2636,LIBOR PARA DEPOSITOS EM MARCOS ALEMAES A 60 MESES,610,13/06/1989,-
2637,LIBOR PARA MARCO FINLANDES PARA SEIS MESES,615,12/03/1991,-
2660,LIBOR PARA DEPOSITOS EM PESETAS ESPANHOLAS A 6 MESES,700,07/11/1989,-
2690,LIBOR PARA DEPOSITOS EM UNIDADES MONETARIAS EUROPEIAS (ECU) A 3 MESES,918,13/06/1989,-
2691,LIBOR PARA DEPOSITOS EM UNIDADES MONETARIAS EUROPEIAS A 6 MESES,918,13/06/1989,-
2750,LIBOR PARA DEPOSITOS EM XELINS AUSTRIACOS A 6 MESES,940,13/06/1989,-
2803,"TAXA DE CAPTA¦`O DE ""CERTIFICATES OF DEPOSITS"", AJUSTADA P.PREMIO DO FDIC",220,13/06/1989,-
3900,TX.FIXA-OUTRAS,220,26/03/2001,-
3909,TAXA FIXA PARA DIREITOS ESPECIAIS DE SAQUE (DES),138,18/08/1989,-
3910,TAXA FIXA DOMESTICA DA AUSTRALIA PARA DOLARES AUSTRALIANOS,150,18/08/1989,-
3911,TAXA FIXA DOMESTICA DO CANADA PARA DOLARES CANADENSES,165,18/08/1989,-
3912,TAXA FIXA DOMESTICA DO MERCADO AMERICANO,220,13/06/1989,-
3913,TX.FIXA-EUR,978,17/01/2007,-
3916,TAXA FIXA DOMESTICA DO MERCADO PORTUGUES,315,13/06/1989,-
3920,TAXA FIXA DOMESTICA DO MERCADO HOLANDES,335,13/06/1989,-
3924,TAXA FIXA DOMESTICA DO MERCADO BELGA (FRANCOS COMERCIAIS),360,13/06/1989,-
3925,TAXA FIXA DOMESTICA DO MERCADO BELGA (FRANCOS FINANCEIROS),361,13/06/1989,-
3928,TAXA FIXA DOMESTICA DO MERCADO FRANCES,395,13/06/1989,-
3930,TAXA FIXA DE LUXEMBURGO PARA FRANCOS LUXEMBURGUESES,400,18/08/1989,-
3932,TAXA FIXA DOMESTICA DO MERCADO SUI¦O,425,13/06/1989,-
3936,TAXA FIXA DOMESTICA DO MERCADO JAPONES,470,13/06/1989,-
3940,TAXA FIXA DOMESTICA DO MERCADO INGLES,540,13/06/1989,-
3944,TAXA FIXA DOMESTICA DO MERCADO ITALIANO,595,13/06/1989,-
3948,TAXA FIXA DOMESTICA DO MERCADO ALEMAO,610,18/08/1989,-
3952,TAXA FIXA DOMESTICA DO MERCADO ESPANHOL,700,13/06/1989,-
3953,TAXA FIXA DA AFRICA DO SUL PARA RANDES,785,18/08/1989,-
3956,TAXA FIXA DO FUNDO SAUDITA DE DESENVOLVIMENTO,820,13/06/1989,-
3960,TAXA FIXA DOMESTICA DO MERCADO AUSTRIACO,940,13/06/1989,-
3964,TAXA FIXA CONVENIO COM A ALEMANHA ORIENTAL,980,13/06/1989,-
3968,TAXA FIXA CONVENIO COM A HUNGRIA,984,13/06/1989,-
3970,TAXA FIXA CONVENIO COM A IUGOSLAVIA,988,18/08/1989,-
3972,TAXA FIXA CONVENIO COM A POLONIA,990,13/06/1989,-
3973,TAXA FIXA CONVENIO COM A ROMENIA,992,13/06/1989,-
3980,TAXA FIXA DO BANCO MUNDIAL PARA CESTA DE MOEDAS,220,13/06/1989,-
3981,TAXA FIXA DO BANCO MUNDIAL PARA CESTA DE MOEDAS CAPITALIZADAS PERIODICAMENT,220,21/06/1996,-
4232,FISCAL INVESTMENT,470,11/06/1997,-
4622,FIBOR DE FRANKFURT-ALEMANHA PARA 06 MESES,610,09/09/1996,-
4788,TMO-TRIMESTRAL,395,24/04/2000,-
4789,CANADIAN INTER BID,165,26/04/2000,-
4790,"TAXA DO FMI PARA ""EXTENDED FINANCING FACILITY ENLARGED ACCESS""",138,13/06/1989,-
4791,"TAXA DO FMI PARA ""EXTENDED FINANCING FACILITY FUND RESOURCES""",138,13/06/1989,-
4792,"TAXA DO FMI PARA ""STOCK FINANCING FACILITIES""",138,13/06/1989,-
4793,FMI-SRF,138,23/08/1999,-
4794,TESOURO AMERICANO,220,26/04/2000,-
4795,TAXA DOMESTICA DO MERCADO CANADENSE PARA DOLARES CANADENSES,165,15/08/1989,-
4800,TAXA DE DESCONTO DO FEDERAL RESERVE BANK DOS ESTADOS UNIDOS,220,13/06/1989,-
4801,TAXA DE CUSTO DE CAPTA¦`O DO EXPORT-IMPORT BANK OF UNITED STATES,220,13/06/1989,-
4802,TAXA DE CUSTO DE CAPTA¦`O DO COMMODITY CREDIT CORPORATION (USA),220,13/06/1989,-
4804,"TAXA DE COLOCA¦`O DE ""COMMERCIAL PAPERS"" NOS ESTADOS UNIDOS",220,13/06/1989,-
4805,TAXA DOMESTICA DO MERCADO AMERICANO PARA DOLARES,220,15/08/1989,-
4807,KFW-CUSTO CAPT-MES,220,12/08/1999,-
4808,OPIC-CUSTO CAPTACAO,220,15/03/2001,-
4809,"TAXAS PARA ""BANKERS ACCEPTANCES"" DE NEW YORK",220,13/06/1989,-
4810,BIRD-S.C.L.-USS-FIXA,220,16/07/1997,-
4811,BIRD-S.C.L.-USS-FLUT,220,16/07/1997,-
4812,TAXA DE CUSTO DE EMPRESTIMOS QUALIFICADOS DO BANCO MUNDIAL,220,13/06/1989,-
4813,BID-EMQ,220,25/07/2001,-
4814,TAXA FLUTUANTE DE APLICAC{ES DO BANCO INTERAMERICANO DE DESENVOLVIMENTO,220,13/06/1989,-
4815,BID-EUQ,220,05/06/1997,-
4816,SINGAPORE INTERBANK OFFERED RATE,220,13/06/1989,-
4817,BID C.E.Q.,220,04/03/2005,-
4820,TAXA DE DESCONTO DO DE NEDERLANDSCHE BANK N.V.,335,13/06/1989,-
4821,TAXA DOMESTICA DO MERCADO HOLANDES PARA FLORINS HOLANDESES,335,15/08/1989,-
4822,US TREASURY BIL,220,07/02/2000,-
4824,TAXA DOMESTICA DO MERCADO BELGA PARA FRANCOS BELGAS FINANCEIROS,361,15/08/1989,-
4825,TAXA DE DESCONTO DO BANQUE NATIONALE DE BELGIQUE S.A.,361,13/06/1989,-
4826,TAXA DE DESCONTO DO BANQUE NATIONALE DE BELGIQUE S.A.,360,13/06/1989,-
4830,TAXA DE DESCONTO DO BANQUE DE FRANCE,395,13/06/1989,-
4831,"""TAUX MOIENNE OBLIGATOIRE"" DAS APLICA¦OES DO TESOURO FRANCES",395,13/06/1989,-
4832,PARIS INTERBANK OFFERED RATE PARA DEPOSITOS A 6 MESES,395,13/06/1989,-
4833,TAXA DOMESTICA DO MERCADO FRANCES PARA FRANCOS FRANCESES,395,15/08/1989,-
4837,FIDA-FLOATING,220,19/09/2001,-
4840,TAXA DE DESCONTO DO BANQUE NATIONALE SUISSE,425,13/06/1989,-
4841,"TAXAS DOS ""CASH BONDS"" DOS BANCOS SUI¦OS PARA 3 ANOS",425,13/06/1989,-
4842,"TAXAS DOS ""CASH BONDS"" DOS BANCOS SUI¦OS PARA 5 ANOS",425,13/06/1989,-
4843,"TAXAS DOS ""CASH BONDS"" DOS BANCOS SUI¦OS PARA 8 ANOS",425,13/06/1989,-
4844,"TAXA DOS ""CASH BONDS"" DO UNION BANK OF SWITZERLAND PARA 8 ANOS",425,13/06/1989,-
4850,TAXA DE DESCONTO DO NIPPON GINKO,470,13/06/1989,-
4851,"TAXA DE CAPTA¦`O DE ""CERTIFICATE OF DEPOSITS"", AJUSTADA, DO JAPAO P.3 MESES",470,13/06/1989,-
4852,TAXA DOMESTICA DO MERCADO JAPONES PARA IENES,470,15/08/1989,-
4855,TAXA DE DESCONTO DO BANK OF ENGLAND,540,13/06/1989,-
4856,EURIBOR - 3 MESES,978,11/05/1999,-
4857,EURIBOR - 6 MESES,978,11/05/1999,-
4859,EURIBOR - 12 MESES,978,11/05/1999,-
4860,TAXA DE DESCONTO DA BANCA D'ITALIA,595,13/06/1989,-
4861,TAXA DOMESTICA DO MERCADO ITALIANO PARA LIRAS ITALIANAS,595,15/08/1989,-
4862,MOEDA DA OCDE VIGENTE NA ASSINATURA DE CONT.COMAL.P/INSERCAO LINHA CREDITO,220,05/04/1994,-
4863,UK CLEARING BANK,540,11/07/1997,-
4864,CONSENSUS/CIRR-YEN,470,16/02/2004,-
4865,TAXA DE DESCONTO DO DEUTSCHE BUNDESBANK,610,13/06/1989,-
4866,TAXA FLUTUANTE DE FINANCIAMENTOS A EXPORTACAO DO WESTDEUTSCHE LANDESBANK,610,13/06/1989,-
4867,"TAXA DOS ""UNSECURED BEARER BONDS"" DO GERMAN LANDESBANK",610,13/06/1989,-
4868,"TAXA DE FINANCIAMENTO DA AKA PARA O TETO ""A""",610,13/06/1989,-
4869,"TAXA DE FINANCIAMENTO DA AKA PARA O TETO ""C"" (REFINANCIAMENTOS)",610,13/06/1989,-
4870,LUXEMBOURG INTERBANK OFFERED RATE PARA DEPOSITOS EM DM A 6 MESES,610,13/06/1989,-
4873,EONIA,978,07/02/2006,-
4875,TAXA DE FINANCIAMENTO AA EXPORTA¦`O DO AUSTRIAN STATUTORY PROMOTION SYSTEM,940,13/06/1989,-
4876,TAXA DE FINANCIAMENTO DO OESTERREISCHISCHE KONTROLLBANK,940,13/06/1989,-
4877,VIEN INTERBANK OFFERED RATE PARA DEPOSITOS A 6 MESES,940,13/06/1989,-
4878,TX.FLUTUANTE-OUTRAS,220,07/05/2003,-
4879,CDI-TAXA DOMESTICA,790,21/10/2004,-
4880,TX.ESTABELECIDA P/EXP.CRED.NA DATA DO CONTRATO COMPRA E/OU SERVS.CONF.OCDE.,395,02/03/1995,-
4881,TX. FLUTUANTE DE CREDITO DE EXPORTACAO OFICIAL SUL-AFRICANA EM RANDE,785,15/12/1995,-
4888,IGPM-REAL,790,05/03/2003,-
