12/01/2018 04:13,,,,,,,,,,,
Código NCM,Descrição NCM,Código do Atributo,Descrição do Atributo,Código da Especificação,Descrição da Especificação,Início de Vigência da Especificação,Fim de Vigência da Especificação,Número do Ato,Tipo do Ato,Ano do Ato,Órgão Emissor do Ato
1201,"Soja, mesmo triturada.",AB,TIPO,0002,2,01/07/2012,-,001268,IN,2012,SRF
1201,"Soja, mesmo triturada.",AB,TIPO,9999,Outros,01/07/2012,-,001268,IN,2012,SRF
1201,"Soja, mesmo triturada.",AC,ACONDICIONAMENTO,9999,Outros,01/07/2012,-,001268,IN,2012,SRF
40103,-Correias de transmissão,AA,PERFIL,0001,13A,01/07/2012,-,001268,IN,2012,SRF
40103,-Correias de transmissão,AB,COMPRIMENTO(cm/pol.),0001,Até 38(15),01/07/2012,-,001268,IN,2012,SRF
90031,-Armações,AA,MARCA,0377,Com,01/07/2012,-,001268,IN,2012,SRF
40103,-Correias de transmissão,AA,PERFIL,0002,17B,01/07/2012,-,001268,IN,2012,SRF
40103,-Correias de transmissão,AA,PERFIL,0003,22C,01/07/2012,-,001268,IN,2012,SRF
40103,-Correias de transmissão,AA,PERFIL,0004,Z,01/07/2012,-,001268,IN,2012,SRF
40103,-Correias de transmissão,AA,PERFIL,0005,3V,01/07/2012,-,001268,IN,2012,SRF
40103,-Correias de transmissão,AA,PERFIL,0006,5V,01/07/2012,-,001268,IN,2012,SRF
40103,-Correias de transmissão,AA,PERFIL,0007,PJ,01/07/2012,-,001268,IN,2012,SRF
40103,-Correias de transmissão,AA,PERFIL,0008,PK,01/07/2012,-,001268,IN,2012,SRF
40103,-Correias de transmissão,AA,PERFIL,0009,PL,01/07/2012,-,001268,IN,2012,SRF
40103,-Correias de transmissão,AA,PERFIL,9999,Outros,01/07/2012,-,001268,IN,2012,SRF
40103,-Correias de transmissão,AB,COMPRIMENTO(cm/pol.),0002,Superior a 38 até 60(15 até 24),01/07/2012,-,001268,IN,2012,SRF
40103,-Correias de transmissão,AB,COMPRIMENTO(cm/pol.),0003,Superior a 60 até 150(24 até 60),01/07/2012,-,001268,IN,2012,SRF
40103,-Correias de transmissão,AB,COMPRIMENTO(cm/pol.),0004,Superior a 150 até 180(60 até 71),01/07/2012,-,001268,IN,2012,SRF
40103,-Correias de transmissão,AB,COMPRIMENTO(cm/pol.),0005,Superior a 180 até 198(71 até 78),01/07/2012,-,001268,IN,2012,SRF
40103,-Correias de transmissão,AB,COMPRIMENTO(cm/pol.),0006,Superior a 198 até 240(78 até 94),01/07/2012,-,001268,IN,2012,SRF
40103,-Correias de transmissão,AB,COMPRIMENTO(cm/pol.),0007,Superior a 240(94),01/07/2012,-,001268,IN,2012,SRF
90031,-Armações,AA,MARCA,0378,Sem,01/07/2012,-,001268,IN,2012,SRF
590210,-De náilon ou de outras poliamidas,AA,MATÉRIA - PRIMA,0001,Poliamida alifática ( náilon ),01/07/2012,-,001268,IN,2012,SRF
590210,-De náilon ou de outras poliamidas,AB,PESO (decitex),0001,700,01/07/2012,-,001268,IN,2012,SRF
590210,-De náilon ou de outras poliamidas,AC,NÚMERO DE FILAMENTOS TORCIDOS,0001,1,01/07/2012,-,001268,IN,2012,SRF
511300,TECIDOS DE PÊLOS GROSSEIROS OU DE CRINA,AA,BENEFICIAMENTO,0001,Crus ou branqueados,01/07/2012,-,001268,IN,2012,SRF
853400,CIRCUITOS IMPRESSOS.,AA,NATUREZA DO MATERIAL BASE,0001,Rígido,01/07/2012,-,001268,IN,2012,SRF
853400,CIRCUITOS IMPRESSOS.,AB,COMPOSIÇÃO DA PLACA,0001,Fenolite,01/07/2012,-,001268,IN,2012,SRF
853400,CIRCUITOS IMPRESSOS.,AC,ESTRUTURA,0001,Face única,01/07/2012,-,001268,IN,2012,SRF
853400,CIRCUITOS IMPRESSOS.,AD,INTERLIGAÇÃO ENTRE FACES,0001,Sem interligação entre faces (somente com furos não metalizados),01/07/2012,-,001268,IN,2012,SRF
852349,-- Outros,AA,TIPO,0001,Disco compacto(CD) de áudio,01/07/2012,-,001268,IN,2012,SRF
852349,-- Outros,AB,ACONDICIONAMENTO,0001,Em pino,01/07/2012,-,001268,IN,2012,SRF
590210,-De náilon ou de outras poliamidas,AA,MATÉRIA - PRIMA,0002,Poliamida aromática ( aramida ),01/07/2012,-,001268,IN,2012,SRF
590210,-De náilon ou de outras poliamidas,AA,MATÉRIA - PRIMA,9999,Outros,01/07/2012,-,001268,IN,2012,SRF
590210,-De náilon ou de outras poliamidas,AB,PESO (decitex),0002,940,01/07/2012,-,001268,IN,2012,SRF
590210,-De náilon ou de outras poliamidas,AB,PESO (decitex),0003,1400,01/07/2012,-,001268,IN,2012,SRF
590210,-De náilon ou de outras poliamidas,AB,PESO (decitex),0004,1880,01/07/2012,-,001268,IN,2012,SRF
590210,-De náilon ou de outras poliamidas,AB,PESO (decitex),0005,2100,01/07/2012,-,001268,IN,2012,SRF
590210,-De náilon ou de outras poliamidas,AB,PESO (decitex),9999,Outros,01/07/2012,-,001268,IN,2012,SRF
590210,-De náilon ou de outras poliamidas,AC,NÚMERO DE FILAMENTOS TORCIDOS,0002,2,01/07/2012,-,001268,IN,2012,SRF
590210,-De náilon ou de outras poliamidas,AC,NÚMERO DE FILAMENTOS TORCIDOS,9999,Outros,01/07/2012,-,001268,IN,2012,SRF
511300,TECIDOS DE PÊLOS GROSSEIROS OU DE CRINA,AA,BENEFICIAMENTO,0002,Tintos em peça,01/07/2012,-,001268,IN,2012,SRF
511300,TECIDOS DE PÊLOS GROSSEIROS OU DE CRINA,AA,BENEFICIAMENTO,0003,De fios tintos,01/07/2012,-,001268,IN,2012,SRF
511300,TECIDOS DE PÊLOS GROSSEIROS OU DE CRINA,AA,BENEFICIAMENTO,9999,Outros,01/07/2012,-,001268,IN,2012,SRF
853400,CIRCUITOS IMPRESSOS.,AA,NATUREZA DO MATERIAL BASE,0002,Flexível,01/07/2012,-,001268,IN,2012,SRF
853400,CIRCUITOS IMPRESSOS.,AA,NATUREZA DO MATERIAL BASE,9999,Outros,01/07/2012,-,001268,IN,2012,SRF
853400,CIRCUITOS IMPRESSOS.,AB,COMPOSIÇÃO DA PLACA,0002,Composite,01/07/2012,-,001268,IN,2012,SRF
853400,CIRCUITOS IMPRESSOS.,AB,COMPOSIÇÃO DA PLACA,0003,Epoxi/Fibra de vidro,01/07/2012,-,001268,IN,2012,SRF
853400,CIRCUITOS IMPRESSOS.,AB,COMPOSIÇÃO DA PLACA,9999,Outros,01/07/2012,-,001268,IN,2012,SRF
853400,CIRCUITOS IMPRESSOS.,AC,ESTRUTURA,0002,Dupla face,01/07/2012,-,001268,IN,2012,SRF
853400,CIRCUITOS IMPRESSOS.,AC,ESTRUTURA,0003,3 a 4 camadas,01/07/2012,-,001268,IN,2012,SRF
853400,CIRCUITOS IMPRESSOS.,AC,ESTRUTURA,0004,5 a 6 camadas,01/07/2012,-,001268,IN,2012,SRF
853400,CIRCUITOS IMPRESSOS.,AC,ESTRUTURA,0005,7 a 8 camadas,01/07/2012,-,001268,IN,2012,SRF
853400,CIRCUITOS IMPRESSOS.,AC,ESTRUTURA,0006,Superior a 8 camadas,01/07/2012,-,001268,IN,2012,SRF
853400,CIRCUITOS IMPRESSOS.,AD,INTERLIGAÇÃO ENTRE FACES,0002,Com furos metalizados,01/07/2012,-,001268,IN,2012,SRF
853400,CIRCUITOS IMPRESSOS.,AD,INTERLIGAÇÃO ENTRE FACES,0003,Com ligação polimérica,01/07/2012,-,001268,IN,2012,SRF
853400,CIRCUITOS IMPRESSOS.,AD,INTERLIGAÇÃO ENTRE FACES,9999,Outros,01/07/2012,-,001268,IN,2012,SRF
852349,-- Outros,AA,TIPO,0002,Disco compacto(CD ROM)),01/07/2012,-,001268,IN,2012,SRF
852349,-- Outros,AA,TIPO,0003,Videodisco,01/07/2012,-,001268,IN,2012,SRF
852349,-- Outros,AA,TIPO,0004,Videodisco digital(DVD),01/07/2012,-,001268,IN,2012,SRF
852349,-- Outros,AA,TIPO,9999,Outros,01/07/2012,-,001268,IN,2012,SRF
852349,-- Outros,AB,ACONDICIONAMENTO,0002,Cartão,01/07/2012,-,001268,IN,2012,SRF
852349,-- Outros,AB,ACONDICIONAMENTO,0003,Caixa plástica,01/07/2012,-,001268,IN,2012,SRF
852349,-- Outros,AB,ACONDICIONAMENTO,9999,Outros,01/07/2012,-,001268,IN,2012,SRF
5402311,De náilon (poliamida alifática),AA,PESO(decitex),0001,Inferior a 17,01/07/2012,-,001268,IN,2012,SRF
5402321,De náilon (poliamida alifática),AA,PESO (decitex),0001,Até 17,01/07/2012,-,001268,IN,2012,SRF
5402321,De náilon (poliamida alifática),AB,NÚMERO DE FILAMENTOS,0001,Até 136,01/07/2012,-,001268,IN,2012,SRF
8528492,Monitores d/video Policromáticos,AA,COMPRIMENTO DA DIAGONAL DA TELA(polegada),0001,13/14,01/07/2012,-,001268,IN,2012,SRF
8523292,"Fitas magnéticas, não gravadas",AA,TIPO,0001,Camcorder,01/07/2012,-,001268,IN,2012,SRF
8523292,"Fitas magnéticas, não gravadas",AB,MATÉRIA PRIMA,0001,Ferro,01/07/2012,-,001268,IN,2012,SRF
8523292,"Fitas magnéticas, não gravadas",AC,APRESENTAÇÃO,0001,Rolo,01/07/2012,-,001268,IN,2012,SRF
8523292,"Fitas magnéticas, não gravadas",AD,FORMATO,0001,VHS,01/07/2012,-,001268,IN,2012,SRF
8523292,"Fitas magnéticas, não gravadas",AE,UTILIZAÇÃO,0001,Processamento de dados,01/07/2012,-,001268,IN,2012,SRF
8523292,"Fitas magnéticas, não gravadas",AF,DURAÇÃO(min),0007,160,01/07/2012,-,001268,IN,2012,SRF
5402311,De náilon (poliamida alifática),AA,PESO(decitex),0002,Superior a 17 até 33,01/07/2012,-,001268,IN,2012,SRF
5402311,De náilon (poliamida alifática),AA,PESO(decitex),0003,Superior a 33 até 55,01/07/2012,-,001268,IN,2012,SRF
5402311,De náilon (poliamida alifática),AA,PESO(decitex),0004,Superior a 55 até 110,01/07/2012,-,001268,IN,2012,SRF
5402321,De náilon (poliamida alifática),AA,PESO (decitex),0002,De 22 até 33,01/07/2012,-,001268,IN,2012,SRF
5402321,De náilon (poliamida alifática),AA,PESO (decitex),0003,De 44 até 55,01/07/2012,-,001268,IN,2012,SRF
5402321,De náilon (poliamida alifática),AA,PESO (decitex),0004,De 78 até 110,01/07/2012,-,001268,IN,2012,SRF
5402321,De náilon (poliamida alifática),AA,PESO (decitex),0005,Superior a 110,01/07/2012,-,001268,IN,2012,SRF
5402321,De náilon (poliamida alifática),AB,NÚMERO DE FILAMENTOS,0002,Superior a 136,01/07/2012,-,001268,IN,2012,SRF
5402311,De náilon (poliamida alifática),AA,PESO(decitex),9999,Outros,01/07/2012,-,001268,IN,2012,SRF
5402321,De náilon (poliamida alifática),AA,PESO (decitex),9999,Outros,01/07/2012,-,001268,IN,2012,SRF
8528492,Monitores d/video Policromáticos,AA,COMPRIMENTO DA DIAGONAL DA TELA(polegada),0002,15,01/07/2012,-,001268,IN,2012,SRF
8528492,Monitores d/video Policromáticos,AA,COMPRIMENTO DA DIAGONAL DA TELA(polegada),0003,17,01/07/2012,-,001268,IN,2012,SRF
8528492,Monitores d/video Policromáticos,AA,COMPRIMENTO DA DIAGONAL DA TELA(polegada),0004,20,01/07/2012,-,001268,IN,2012,SRF
8528492,Monitores d/video Policromáticos,AA,COMPRIMENTO DA DIAGONAL DA TELA(polegada),0005,21,01/07/2012,-,001268,IN,2012,SRF
8528492,Monitores d/video Policromáticos,AA,COMPRIMENTO DA DIAGONAL DA TELA(polegada),0006,23,01/07/2012,-,001268,IN,2012,SRF
8528492,Monitores d/video Policromáticos,AA,COMPRIMENTO DA DIAGONAL DA TELA(polegada),9999,Outros,01/07/2012,-,001268,IN,2012,SRF
8523292,"Fitas magnéticas, não gravadas",AA,TIPO,0002,Convencional,01/07/2012,-,001268,IN,2012,SRF
8523292,"Fitas magnéticas, não gravadas",AA,TIPO,9999,Outros,01/07/2012,-,001268,IN,2012,SRF
8523292,"Fitas magnéticas, não gravadas",AB,MATÉRIA PRIMA,0002,Dióxido de cromo,01/07/2012,-,001268,IN,2012,SRF
8523292,"Fitas magnéticas, não gravadas",AB,MATÉRIA PRIMA,9999,Outros,01/07/2012,-,001268,IN,2012,SRF
8523292,"Fitas magnéticas, não gravadas",AC,APRESENTAÇÃO,0002,Cassete,01/07/2012,-,001268,IN,2012,SRF
8523292,"Fitas magnéticas, não gravadas",AC,APRESENTAÇÃO,0003,Cartucho,01/07/2012,-,001268,IN,2012,SRF
8523292,"Fitas magnéticas, não gravadas",AC,APRESENTAÇÃO,9999,Outros,01/07/2012,-,001268,IN,2012,SRF
8523292,"Fitas magnéticas, não gravadas",AD,FORMATO,0002,VHSC,01/07/2012,-,001268,IN,2012,SRF
8523292,"Fitas magnéticas, não gravadas",AD,FORMATO,0003,8 mm,01/07/2012,-,001268,IN,2012,SRF
8523292,"Fitas magnéticas, não gravadas",AD,FORMATO,9999,Outros,01/07/2012,-,001268,IN,2012,SRF
8523292,"Fitas magnéticas, não gravadas",AE,UTILIZAÇÃO,0002,Gravação de som,01/07/2012,-,001268,IN,2012,SRF
8523292,"Fitas magnéticas, não gravadas",AE,UTILIZAÇÃO,0003,Gravação em câmera de vídeo,01/07/2012,-,001268,IN,2012,SRF
8523292,"Fitas magnéticas, não gravadas",AE,UTILIZAÇÃO,0004,Gravação de imagem e som,01/07/2012,-,001268,IN,2012,SRF
8523292,"Fitas magnéticas, não gravadas",AE,UTILIZAÇÃO,0005,Limpeza,01/07/2012,-,001268,IN,2012,SRF
8523292,"Fitas magnéticas, não gravadas",AE,UTILIZAÇÃO,9999,Outros,01/07/2012,-,001268,IN,2012,SRF
8523292,"Fitas magnéticas, não gravadas",AF,DURAÇÃO(min),0001,20,01/07/2012,-,001268,IN,2012,SRF
8523292,"Fitas magnéticas, não gravadas",AF,DURAÇÃO(min),0002,30,01/07/2012,-,001268,IN,2012,SRF
8523292,"Fitas magnéticas, não gravadas",AF,DURAÇÃO(min),0003,45,01/07/2012,-,001268,IN,2012,SRF
8523292,"Fitas magnéticas, não gravadas",AF,DURAÇÃO(min),0004,60,01/07/2012,-,001268,IN,2012,SRF
8523292,"Fitas magnéticas, não gravadas",AF,DURAÇÃO(min),0005,90,01/07/2012,-,001268,IN,2012,SRF
8523292,"Fitas magnéticas, não gravadas",AF,DURAÇÃO(min),0006,120,01/07/2012,-,001268,IN,2012,SRF
8523292,"Fitas magnéticas, não gravadas",AF,DURAÇÃO(min),9999,Outros,01/07/2012,-,001268,IN,2012,SRF
28521022,TIMEROSAL,AA,CAS/DCB,0001,000054-64-8/Tiomersal,01/07/2012,-,001268,IN,2012,SRF
28521029,OUTROS COMPOSTOS ORGÂNICOS DE MERCÚRIO,AA,CAS/DCB,0001,000129-16-8/Merbromina,01/07/2012,-,001268,IN,2012,SRF
13019090,"OUTS GOMAS,RES.,GOMA-RESINAS,BÁLSAMOS NAT.",AA,CAS/DCB,0001,009000-20-8/Resina de eucalipto,01/07/2012,-,001268,IN,2012,SRF
15071000,"OLEO DE SOJA EM BRUTO, MESMO DEGOMADO",AA,PROCESSO,0001,Por pressão,01/07/2012,-,001268,IN,2012,SRF
15071000,"OLEO DE SOJA EM BRUTO, MESMO DEGOMADO",AB,TIPO,0001,1,01/07/2012,-,001268,IN,2012,SRF
15079011,"OLEO D/SOJA,REFIN.,EM RECS.C/CAP.INF.OU = 5L",AA,PROCESSO,0001,Por pressão,01/07/2012,-,001268,IN,2012,SRF
15079011,"OLEO D/SOJA,REFIN.,EM RECS.C/CAP.INF.OU = 5L",AB,CAPACIDADE (litro),0001,"Até 0,5",01/07/2012,-,001268,IN,2012,SRF
15079011,"OLEO D/SOJA,REFIN.,EM RECS.C/CAP.INF.OU = 5L",AC,ACONDICIONAMENTO,0001,Em latas metálicas,01/07/2012,-,001268,IN,2012,SRF
15159090,Outros,AA,CAS/DCB,0001,008002-66-2/Óleo de  camomila alemão,01/07/2012,-,001268,IN,2012,SRF
23040090,OUTROS RESIDUOS DA EXTRACAO DO OLEO D/SOJA,AA,ITEM,0001,Tortas(bagaços),01/07/2012,-,001268,IN,2012,SRF
23040090,OUTROS RESIDUOS DA EXTRACAO DO OLEO D/SOJA,AB,APRESENTAÇÃO,0001,Tostado,01/07/2012,-,001268,IN,2012,SRF
23040090,OUTROS RESIDUOS DA EXTRACAO DO OLEO D/SOJA,AC,EXTRAÇÃO,0001,Por prensagem,01/07/2012,-,001268,IN,2012,SRF
23040090,OUTROS RESIDUOS DA EXTRACAO DO OLEO D/SOJA,AD,TRATAMENTO,9999,Outros,01/07/2012,-,001268,IN,2012,SRF
23040090,OUTROS RESIDUOS DA EXTRACAO DO OLEO D/SOJA,AE,TIPO,0001,1,01/07/2012,-,001268,IN,2012,SRF
23040090,OUTROS RESIDUOS DA EXTRACAO DO OLEO D/SOJA,AF,ACONDICIONAMENTO,0001,A granel,01/07/2012,-,001268,IN,2012,SRF
25199090,OUTS.OXIDOS D/MAGNESIO E MAGNESIAS,AA,CAS/DCB,0001,001309-48-4/Óxido de magnésio,01/07/2012,-,001268,IN,2012,SRF
28011000,CLORO,AA,DENOMINAÇÃO DE MERCADO,0001,Cloro gás,01/07/2012,-,001268,IN,2012,SRF
28100090,OUTROS OXIDOS DE BORO E ACIDOS BORICOS,AA,CAS/DCB,0001,010043-35-3/Ácido Bórico,01/07/2012,-,001268,IN,2012,SRF
28112290,OUTROS DIOXIDOS DE SILICIO,AA,CAS/DCB,0001,014808-60-7/Dióxido de silício,01/07/2012,-,001268,IN,2012,SRF
28255090,OUTROS OXIDOS E HIDROXIDOS DE COBRE,AA,CAS/DCB,0001,020427-59-2/Hidróxido de cobre,01/07/2012,-,001268,IN,2012,SRF
28351029,OUTROS FOSFANATOS,AA,CAS/DCB,9999,Outros,01/07/2012,-,001268,IN,2012,SRF
28480090,OUTROS FOSFETOS,AA,CAS/DCB,0001,007803-51-2/Fosfina,01/07/2012,-,001268,IN,2012,SRF
28054000,MERCURIO,AA,DENOMINAÇÃO DE MERCADO,0001,Mercúrio inorgânico - uso industrial,01/07/2012,-,001268,IN,2012,SRF
28151100,"HIDROXIDO DE SODIO, SOLIDO",AA,GRAU/CONCENTRAÇÃO,0001,Raiom com concentração de 97 até 99%,01/07/2012,-,001268,IN,2012,SRF
28151100,"HIDROXIDO DE SODIO, SOLIDO",AB,APRESENTAÇÃO,0001,Escamas,01/07/2012,-,001268,IN,2012,SRF
28151200,"HIDROX.D/SODIO,EM SOLUCAO AQUOSA",AA,GRAU/CONCENTRAÇÃO,0002,Comercial com concentração de 48 até 50%,01/07/2012,-,001268,IN,2012,SRF
28152000,HIDROXIDO DE POTASSIO (POTASSA CAUSTICA),AA,DENOMINAÇÃO DE MERCADO,0001,"Potassa cáustica, líquida, a 50% de concentração",01/07/2012,-,001268,IN,2012,SRF
28311021,SULFOXILATO FORMALDEIDO DE SODIO,AA,CAS/DCB,0001,000149-44-0/Formaldeidossulfoxilato de sódio,01/07/2012,-,001268,IN,2012,SRF
28362010,"CARBONATO DISSODICO,ANIDRO",AA,DENOMINAÇÃO DE MERCADO/DENSIDADE,0005,"Barrilha sintética, tipo leve (menos de 950 g/litro)",01/07/2012,-,001268,IN,2012,SRF
28364000,CARBONATOS DE POTASSIO,AA,CAS/DCB,0001,000298-14-6/Bicarbonato de potássio,01/07/2012,-,001268,IN,2012,SRF
28369919,OUTROS CARBONATOS,AA,CAS/DCB,0001,000513-79-1/Carbonato de cobalto(oso),01/07/2012,-,001268,IN,2012,SRF
28432990,OUTROS COMPOSTOS DE PRATA,AA,CAS/DCB,0001,000128-00-7/Lactato de prata,01/07/2012,-,001268,IN,2012,SRF
28439090,Outros,AA,CAS/DCB,0001,041575-94-4/Carboplatina,01/07/2012,-,001268,IN,2012,SRF
28261990,OUTROS FLUORETOS,AA,CAS/DCB,0001,007681-49-4/Fluoreto de sódio,01/07/2012,-,001268,IN,2012,SRF
28352910,FOSFATO DE FERRO,AA,CAS/DCB,9999,Outros,01/07/2012,-,001268,IN,2012,SRF
28530010,Cianamida e seus derivados metálicos,AA,CAS/DCB,0002,000420-04-2/Cianamida,01/07/2012,-,001268,IN,2012,SRF
28444090,OUTS.ELEM.ISOTOPOS E COMPOSTOS RADIOATIVOS,AA,CAS/DCB,0003,123748-56-1/Ácido iodolfítico (123 I),01/07/2012,-,001268,IN,2012,SRF
28429000,OUTS.SAIS D/AC.OU PEROXOACIDOS INORGANICOS,AA,CAS/DCB,0001,000333-20-0/Tiocianato de potássio,01/07/2012,-,001268,IN,2012,SRF
28530010,Cianamida e seus derivados metálicos,AA,CAS/DCB,0001,000156-62-7/Cianamida cálcica,01/07/2012,-,001268,IN,2012,SRF
28530010,Cianamida e seus derivados metálicos,AA,CAS/DCB,9999,Outros,01/07/2012,-,001268,IN,2012,SRF
13019090,"OUTS GOMAS,RES.,GOMA-RESINAS,BÁLSAMOS NAT.",AA,CAS/DCB,0002,009000-35-5/Resina de jalapa,01/07/2012,-,001268,IN,2012,SRF
13019090,"OUTS GOMAS,RES.,GOMA-RESINAS,BÁLSAMOS NAT.",AA,CAS/DCB,0003,009000-36-6/Goma  caraia,01/07/2012,-,001268,IN,2012,SRF
13019090,"OUTS GOMAS,RES.,GOMA-RESINAS,BÁLSAMOS NAT.",AA,CAS/DCB,0004,008063-16-9/Goma de semente de psillium,01/07/2012,-,001268,IN,2012,SRF
13019090,"OUTS GOMAS,RES.,GOMA-RESINAS,BÁLSAMOS NAT.",AA,CAS/DCB,9999,Outros,01/07/2012,-,001268,IN,2012,SRF
15071000,"OLEO DE SOJA EM BRUTO, MESMO DEGOMADO",AA,PROCESSO,0002,Por solventes,01/07/2012,-,001268,IN,2012,SRF
15071000,"OLEO DE SOJA EM BRUTO, MESMO DEGOMADO",AB,TIPO,0002,2,01/07/2012,-,001268,IN,2012,SRF
15079011,"OLEO D/SOJA,REFIN.,EM RECS.C/CAP.INF.OU = 5L",AA,PROCESSO,0002,Por solventes,01/07/2012,-,001268,IN,2012,SRF
15079011,"OLEO D/SOJA,REFIN.,EM RECS.C/CAP.INF.OU = 5L",AB,CAPACIDADE (litro),0002,"Superior a 0,5 até 0,9",01/07/2012,-,001268,IN,2012,SRF
15079011,"OLEO D/SOJA,REFIN.,EM RECS.C/CAP.INF.OU = 5L",AB,CAPACIDADE (litro),0003,"Superior a 0,9 até 1",01/07/2012,-,001268,IN,2012,SRF
15079011,"OLEO D/SOJA,REFIN.,EM RECS.C/CAP.INF.OU = 5L",AB,CAPACIDADE (litro),0004,Superior a 1 até 5,01/07/2012,-,001268,IN,2012,SRF
