12/01/2018 03:42,,,
Código,Descrição,Início de Vigência,Fim de Vigência
16,"ANIMAIS PARA EXPOSIÇÕES, FEIRAS, PASTOREIO, ADESTRAMENTO, TRABALHO, COBERTURA E CUIDADOS DA MEDICINA VETERINÁRIA.",24/05/2016,-
17,ASSISTÊNCIA E SALVAMENTOEM EM SITUAÇÕES QUE CAUSEM DANO OU AMEAÇA DE DANO À COLETIVIDADE OU AO MEIO AMBIENTE.,24/05/2016,-
18,BENS DESTINADOS AO EXERCÍCIO TEMPORÁRIO DE ATIVIDADE PROFISSIONAL DE VIAJANTE NÃO RESIDENTE.,24/05/2016,-
19,"BENS DESTINADOS AO USO DO IMIGRANTE, ENQUANTO NAO OBTIDO O VISTO PERMANENTE.",24/05/2016,-
20,"BENS DESTINADOS AO USO DE VIAJANTE NAO RESIDENTE, DESDE QUE INTEGRANTES DE SUA BAGAGEM.",24/05/2016,-
21,"LANÇAMENTO DE SATÉLITES E SERVIÇOS CONEXOS, AUTORIZADOS PELA AGÊNCIA ESPACIAL BRASILEIRA (AEB).",24/05/2016,-
22,"HOMOLOGAÇÃO, ENSAIOS, TESTES DE FUNCIONAMENTO OU RESISTÊNCIA,DESENVOLVIMENTO DE PRODUTOS OU PROTÓTIPOS.",24/05/2016,-
23,"VEÍCULO TERRESTRE E EMBARCAÇÃO DE ESPORTE E RECREIO, DE VIAJANTE NÃO RESIDENTE, AO AMPARO DE CONHECIMENTO DE CARGA.",24/05/2016,-
24,CÓDIGO REVOGADO - VEÍCULO DE VIAJANTE ESTRANGEIRO NÃO RESIDENTE.,24/05/2016,-
25,PRODUÇÃO DE OBRA AUDIOVISUAL.,24/05/2016,-
26,"EQUIPAMENTOS DE RÁDIO, TELEVISÃO E PARA A IMPRENSA EM GERAL.",24/05/2016,-
27,"ATIVIDADES CLÍNICAS E CIRÚRGICAS GRATUITAS, DE CARÁTER HUMANITÁRIO, APROVADAS POR ÓRGÃO PÚBLICO.",24/05/2016,-
28,EVENTOS OU OPERAÇÕES MILITARES.,24/05/2016,-
29,MANUTENÇÃO E REPARO DAS USINAS TERMONUCLEARES DA CENTRAL NUCLEAR ALMIRANTE ÁLVARO ALBERTO (CNAAA).,24/05/2016,-
30,EVENTOS COPA DO MUNDO / JOGOS OLÍMPICOS E PARALÍMPICOS 2016 EQUIPAMENTO TÉCNICO-ESPORTIVO,08/06/2015,-
31,EVENTOS COPA DO MUNDO / JOGOS OLÍMPICOS E PARALÍMPICOS 2016 EQUIPAMENTO TÉCNICO DE GRAVAÇÃO E TRANSMISSÃO DE SONS/IMAGENS,08/06/2015,-
32,EVENTOS COPA DO MUNDO / JOGOS OLÍMPICOS E PARALÍMPICOS 2016 EQUIPAMENTO MÉDICO,08/06/2015,-
33,EVENTOS COPA DO MUNDO/ JOGOS OLÍMPICOS E PARALÍMPICOS 2016 EQUIPAMENTO TÉCNICO DE ESCRITÓRIO,08/06/2015,-
34,EVENTOS COPA DO MUNDO / JOGOS OLÍMPICOS E PARALÍMPICOS 2016 OUTROS BENS DURÁVEIS PREVISTOS EM REGULAMENTO,08/06/2015,-
