12/01/2018 03:42,,
Código,,Descrição
29333,- Compostos cuja estrutura contém um ciclo piridina (hidrogenado ou não) não condensado:
29334,- Compostos cuja estrutura contém ciclos quinoleína ou isoquinoleína (hidrogenados ou não) sem outras condensações:
29335,- Compostos cuja estrutura contém um ciclo pirimidina (hidrogenado ounão) ou piperazina:
29336,- Compostos cuja estrutura contém um ciclo triazina (hidrogenado ou não) não condensado:
29337,- Lactamas:
29339,- Outros:
2934,"Ácidos nucléicos e seus sais, de constituição química definida ou não; outros compostos heterocíclicos."
29349,- Outros:
2936,"Provitaminas e vitaminas, naturais ou reproduzidas por síntese (incluindo os concentrados naturais), bem como os seus derivados utilizados principalmente como vitaminas, misturados ou não entre si, mesmo em quaisquer soluções."
29362,"- Vitaminas e seus derivados, não misturados:"
2937,"Hormônios, prostaglandinas, tromboxanas e leucotrienos, naturais ou reproduzidos por síntese; seus derivados e análogos estruturais, incluindo os polipeptídios de cadeia modificada, utilizados principalmente como hormônios."
29371,"- Hormônios polipeptídicos, hormônios proteicos e hormônios glicoproteicos, seus derivados e análogos estruturais:"
29372,"- Hormônios esteróides, seus derivados e análogos estruturais:"
2938,"Heterosídios, naturais ou reproduzidos por síntese, seus sais, éteres, ésteres e outros derivados."
2939,"Alcalóides vegetais, naturais ou reproduzidos por síntese, seus sais,éteres, ésteres e outros derivados."
29391,- Alcalóides do ópio e seus derivados; sais destes produtos:
29394,- Efedrinas e seus sais:
29395,- Teofilina e aminofilina (teofilina-etilenodiamina) e seus derivados; sais destes produtos:
29396,- Alcalóides da cravagem do centeio e seus derivados; sais destes produtos:
29399,- Outros:
2941,Antibióticos.
30,Produtos farmacêuticos
3001,"Glândulas e outros órgãos para usos opoterápicos, dessecados, mesmo em pó; extratos de glândulas ou de outros órgãos ou das suas secreções,para usos opoterápicos; heparina e seus sais; outras substâncias humanas ou animais preparadas para fins terapêuti"
3002,"Sangue humano; sangue animal preparado para usos terapêuticos, profiláticos ou de diagnóstico; anti-soros, outras frações do sangue e produtos imunológicos, mesmo modificados ou obtidos por via biotecnológica;vacinas, toxinas, culturas de microrganismos"
3003,"Medicamentos (exceto os produtos das posições 30.02, 30.05 ou 30.06) constituídos por produtos misturados entre si, preparados para fins terapêuticos ou profiláticos, mas não apresentados em doses nem acondicionados para venda a retalho."
30033,"- Que contenham hormônios ou outros produtos da posição 29.37, mas que não contenham antibióticos:"
3004,"Medicamentos (exceto os produtos das posições 30.02, 30.05 ou 30.06) constituídos por produtos misturados ou não misturados, preparados para fins terapêuticos ou profiláticos, apresentados em doses (incluindo os destinados a serem administrados por via"
30043,"- Que contenham hormônios ou outros produtos da posição 29.37, mas que não contenham antibióticos:"
3005,"Pastas (ouates), gazes, ataduras e artigos análogos (por exemplo, curativos (pensos), esparadrapos, sinapismos), impregnados ou recobertos de substâncias farmacêuticas ou acondicionados para venda a retalho para usos medicinais, cirúrgicos, dentários ou"
3006,Preparações e artigos farmacêuticos indicados na Nota 4 deste Capítulo.
30069,- Outros:
31,Adubos (fertilizantes)
3102,"Adubos (fertilizantes) minerais ou químicos, nitrogenados (azotados)."
31022,"- Sulfato de amônio; sais duplos e misturas, de sulfato de amônio e nitrato de amônio:"
3103,"Adubos (fertilizantes) minerais ou químicos, fosfatados."
3104,"Adubos (fertilizantes) minerais ou químicos, potássicos."
3105,"Adubos (fertilizantes) minerais ou químicos, que contenham dois ou três dos seguintes elementos fertilizantes: nitrogênio (azoto), fósforo e potássio; outros adubos (fertilizantes); produtos do presente Capítulo apresentados em tabletes ou formas semelh"
31055,"- Outros adubos (fertilizantes) minerais ou químicos, que contenham os dois elementos fertilizantes: nitrogênio (azoto) e fósforo:"
32,Extratos tanantes e tintoriais; taninos e seus derivados; pigmentos eoutras matérias corantes; tintas e vernizes; mástiques; tintas de escrever
3201,"Extratos tanantes de origem vegetal; taninos e seus sais, éteres, ésteres e outros derivados."
3202,"Produtos tanantes orgânicos sintéticos; produtos tanantes inorgânicos; preparações tanantes, mesmo que contenham produtos tanantes naturais; preparações enzimáticas para a pré-curtimenta."
3204,"Matérias corantes orgânicas sintéticas, mesmo de constituição químicadefinida; preparações indicadas na Nota 3 do presente Capítulo, à base de matérias corantes orgânicas sintéticas; produtos orgânicos sintéticos dos tipos utilizados como agentes de avi"
32041,"- Matérias corantes orgânicas sintéticas e preparações indicadas na Nota 3 do presente Capítulo, à base dessas matérias corantes:"
3206,"Outras matérias corantes; preparações indicadas na Nota 3 do presenteCapítulo, exceto das posições 32.03, 32.04 ou 32.05; produtos inorgânicos dos tipos utilizados como luminóforos, mesmo de constituição química definida."
32061,- Pigmentos e preparações à base de dióxido de titânio:
32064,- Outras matérias corantes e outras preparações:
3207,"Pigmentos, opacificantes e cores preparados, composições vitrificáveis, engobos, polimentos líquidos e preparações semelhantes, dos tipos utilizados nas indústrias da cerâmica, do esmalte e do vidro; fritas devidro e outros vidros, em pó, em grânulos, e"
3208,"Tintas e vernizes, à base de polímeros sintéticos ou de polímeros naturais modificados, dispersos ou dissolvidos em meio não aquoso; soluções definidas na Nota 4 do presente Capítulo."
3209,"Tintas e vernizes, à base de polímeros sintéticos ou de polímeros naturais modificados, dispersos ou dissolvidos num meio aquoso."
3212,"Pigmentos (incluindo os pós e flocos metálicos) dispersos em meios não aquosos, no estado líquido ou pastoso, dos tipos utilizados na fabricação de tintas; folhas para marcar a ferro; tinturas e outras matérias corantes apresentadas em formas próprias o"
3213,"Cores para pintura artística, atividades educativas, pintura de tabuletas, modificação de tonalidades, recreação e cores semelhantes, em pastilhas, tubos, potes, frascos, godês ou acondicionamentos semelhantes."
3214,"Mástique de vidraceiro, cimentos de resina e outros mástiques; indutos utilizados em pintura; indutos não refratários do tipo dos utilizados em alvenaria."
3215,"Tintas de impressão, tintas de escrever ou de desenhar e outras tintas, mesmo concentradas ou no estado sólido."
32151,- Tintas de impressão:
33,Óleos essenciais e resinóides; produtos de perfumaria ou de toucador preparados e preparações cosméticas
3301,"Óleos essenciais (desterpenados ou não), incluindo os chamados ""concretos"" ou ""absolutos""; resinóides; oleorresinas de extração; soluções concentradas de óleos essenciais em gorduras, em óleos fixos, em ceras ou em matérias análogas, obtidas por tratame"
33011,- Óleos essenciais de frutos cítricos:
33012,"- Óleos essenciais, exceto de frutos cítricos:"
3302,"Misturas de substâncias odoríferas e misturas (incluindo as soluções alcoólicas) à base de uma ou mais destas substâncias, dos tipos utilizados como matérias básicas para a indústria; outras preparações à basede substâncias odoríferas, dos tipos utiliza"
3304,"Produtos de beleza ou de maquiagem preparados e preparações para conservação ou cuidados da pele (exceto medicamentos), incluindo as preparações anti-solares e os bronzeadores; preparações para manicuros e pedicuros."
33049,- Outros:
3305,Preparações capilares.
3306,"Preparações para higiene bucal ou dentária, incluindo os pós e cremespara facilitar a aderência de dentaduras; fios utilizados para limparos espaços interdentais (fios dentais), em embalagens individuais para venda a retalho."
3307,"Preparações para barbear (antes, durante ou após), desodorantes (desodorizantes) corporais, preparações para banhos, depilatórios, outros produtos de perfumaria ou de toucador preparados e outras preparações cosméticas, não especificados nem compreendid"
33074,"- Preparações para perfumar ou para desodorizar ambientes, incluindo as preparações odoríferas para cerimônias religiosas:"
34,"Sabões, agentes orgânicos de superfície, preparações para lavagem, preparações lubrificantes, ceras artificiais, ceras preparadas, produtosde conservação e limpeza, velas e artigos semelhantes, massas ou pastas para modelar, ceras para "
,dentistas e com
3401,"Sabões; produtos e preparações orgânicos tensoativos utilizados como sabão, em barras, pães, pedaços ou figuras moldadas, mesmo que contenham sabão; produtos e preparações orgânicos tensoativos para lavagem dapele, em forma de líquido ou de creme, acond"
34011,"- Sabões, produtos e preparações orgânicos tensoativos, em barras, pães, pedaços ou figuras moldadas, e papel, pastas (ouates), feltros e falsos tecidos, impregnados, revestidos ou recobertos de sabão ou de detergentes:"
3402,"Agentes orgânicos de superfície (exceto sabões); preparações tensoativas, preparações para lavagem (incluindo as preparações auxiliares para lavagem) e preparações para limpeza, mesmo que contenham sabão, exceto as da posição 34.01."
34021,"- Agentes orgânicos de superfície, mesmo acondicionados para venda a retalho:"
3403,"Preparações lubrificantes (incluindo os óleos de corte, as preparações antiaderentes de porcas e parafusos, as preparações antiferrugem ou anticorrosão e as preparações para desmoldagem, à base de lubrificantes) e preparações dos tipos utilizados para l"
34031,- Que contenham óleos de petróleo ou de minerais betuminosos:
34039,- Outras:
3404,Ceras artificiais e ceras preparadas.
3405,"Pomadas e cremes para calçados, encáusticas, preparações para dar brilho a pinturas de carroçarias, vidros ou metais, pastas e pós para arear e preparações semelhantes (mesmo apresentados em papel, pastas (ouates), feltros, falsos tecidos, plásticos ou"
35,Matérias albuminóides; produtos à base de amidos ou de féculas modificados; colas; enzimas
3501,"Caseínas, caseinatos e outros derivados das caseínas; colas de caseína."
3502,"Albuminas (incluindo os concentrados de várias proteínas de soro de leite, que contenham, em peso, calculado sobre matéria seca, mais de 80% de proteínas de soro de leite), albuminatos e outros derivados das albuminas."
35021,- Ovalbumina:
3505,"Dextrina e outros amidos e féculas modificados (por exemplo, amidos eféculas pré-gelatinizados ou esterificados); colas à base de amidos ou de féculas, de dextrina ou de outros amidos ou féculas modificados."
3506,"Colas e outros adesivos preparados, não especificados nem compreendidos noutras posições; produtos de qualquer espécie utilizados como colas ou adesivos, acondicionados para venda a retalho como colas ou adesivos, com peso líquido não superior a 1 kg."
35069,- Outros:
3507,Enzimas; enzimas preparadas não especificadas nem compreendidas noutras posições.
36,Pólvoras e explosivos; artigos de pirotecnia; fósforos; ligas pirofóricas; matérias inflamáveis
3604,"Fogos de artifício, foguetes de sinalização ou contra o granizo e semelhantes, bombas, petardos e outros artigos de pirotecnia."
3606,"Ferrocério e outras ligas pirofóricas, sob quaisquer formas; artigos de matérias inflamáveis indicados na Nota 2 do presente Capítulo."
37,Produtos para fotografia e cinematografia
3701,"Chapas e filmes planos, fotográficos, sensibilizados, não impressionados, de matérias diferentes do papel, do cartão ou dos têxteis; filmesfotográficos planos, de revelação e copiagem instantâneas, sensibilizados, não impressionados, mesmo em cartuchos."
37019,- Outros:
3702,"Filmes fotográficos sensibilizados, não impressionados, em rolos, de matérias diferentes do papel, do cartão ou dos têxteis; filmes fotográficos de revelação e copiagem instantâneas, em rolos, sensibilizados, não impressionados."
37023,"- Outros filmes, não perfurados, de largura não superior a 105 mm:"
37024,"- Outros filmes, não perfurados, de largura superior a 105 mm:"
37025,"- Outros filmes, para fotografia a cores (policromo):"
37029,- Outros:
3703,"Papéis, cartões e têxteis, fotográficos, sensibilizados, não impressionados."
3705,"Chapas e filmes, fotográficos, impressionados e revelados, exceto os filmes cinematográficos."
3706,"Filmes cinematográficos impressionados e revelados, que contenham ou não gravação de som ou que contenham apenas gravação de som."
3707,"Preparações químicas para usos fotográficos, exceto vernizes, colas, adesivos e preparações semelhantes; produtos não misturados, quer dosados tendo em vista usos fotográficos, quer acondicionados para venda aretalho para esses mesmos usos e prontos par"
38,Produtos diversos das indústrias químicas
3801,"Grafita artificial; grafita coloidal ou semicoloidal; preparações à base de grafita ou de outros carbonos, em pastas, blocos, lamelas ou outros produtos intermediários."
3802,"Carvões ativados; matérias minerais naturais ativadas; negros de origem animal, incluindo o negro animal esgotado."
3805,"Essências de terebintina, de pinheiro ou provenientes da fabricação da pasta de papel ao sulfato e outras essências terpênicas provenientesda destilação ou de outros tratamentos das madeiras de coníferas; dipenteno em bruto; essência proveniente da fabr"
3806,"Colofônias e ácidos resínicos, e seus derivados; essência de colofônia e óleos de colofônia; gomas fundidas."
3808,"Inseticidas, rodenticidas, fungicidas, herbicidas, inibidores de germinação e reguladores de crescimento para plantas, desinfetantes e produtos semelhantes, apresentados em formas ou embalagens para venda a retalho ou como preparações ou ainda sob a for"
38089,- Outros:
3809,"Agentes de apresto ou de acabamento, aceleradores de tingimento ou defixação de matérias corantes e outros produtos e preparações (por exemplo, aprestos preparados e preparações mordentes) dos tipos utilizados na indústria têxtil, na indústria do papel,"
38099,- Outros:
3810,"Preparações para decapagem de metais; fluxos para soldar e outras preparações auxiliares para soldar metais; pastas e pós para soldar, compostos de metal e de outras matérias; preparações dos tipos utilizados para enchimento ou revestimento de eletrodos"
3811,"Preparações antidetonantes, inibidores de oxidação, aditivos peptizantes, beneficiadores de viscosidade, aditivos anticorrosivos e outros aditivos preparados, para óleos minerais (incluindo a gasolina) ou paraoutros líquidos utilizados para os mesmos fi"
38111,- Preparações antidetonantes:
38112,- Aditivos para óleos lubrificantes:
3812,"Preparações denominadas ""aceleradores de vulcanização""; plastificantes compostos para borracha ou plásticos, não especificados nem compreendidos noutras posições; preparações antioxidantes e outros estabilizadores compostos, para borracha ou plásticos."
3815,"Iniciadores de reação, aceleradores de reação e preparações catalíticas, não especificados nem compreendidos noutras posições."
38151,- Catalisadores em suporte:
3823,Ácidos graxos monocarboxílicos industriais; óleos ácidos de refinação; álcoois graxos industriais.
38231,- Ácidos graxos monocarboxílicos industriais; óleos ácidos de refinação:
3824,"Aglutinantes preparados para moldes ou para núcleos de fundição; produtos químicos e preparações das indústrias químicas ou das indústrias conexas (incluindo os constituídos por misturas de produtos naturais),não especificados nem compreendidos noutras"
38247,"- Misturas que contenham derivados halogenados do metano, do etano oudo propano:"
38248,"- Misturas e preparações que contenham oxirano (óxido de etileno), polibromobifenilas (PBB), policlorobifenilas (PCB), policloroterfenilas (PCT) ou fosfato de tris(2,3-dibromopropila):"
3825,"Produtos residuais das indústrias químicas ou das indústrias conexas,não especificados nem compreendidos noutras posições; lixos municipais; lamas de tratamento de esgotos; outros resíduos mencionados na Nota6 deste Capítulo."
38254,- Resíduos de solventes orgânicos:
38256,- Outros resíduos das indústrias químicas ou das indústrias conexas:
39,Plásticos e suas obras
3901,"Polímeros de etileno, em formas primárias."
3902,"Polímeros de propileno ou de outras olefinas, em formas primárias."
3903,"Polímeros de estireno, em formas primárias."
39031,- Poliestireno:
3904,"Polímeros de cloreto de vinila ou de outras olefinas halogenadas, em formas primárias."
39042,- Outro poli(cloreto de vinila):
39046,- Polímeros fluorados:
3905,"Polímeros de acetato de vinila ou de outros ésteres de vinila, em formas primárias; outros polímeros de vinila, em formas primárias."
39051,- Poli(acetato de vinila):
39052,- Copolímeros de acetato de vinila:
39059,- Outros:
3906,"Polímeros acrílicos, em formas primárias."
3907,"Poliacetais, outros poliéteres e resinas epóxidas, em formas primárias; policarbonatos, resinas alquídicas, poliésteres alílicos e outros poliésteres, em formas primárias."
39079,- Outros poliésteres:
3908,Poliamidas em formas primárias.
3909,"Resinas amínicas, resinas fenólicas e poliuretanos, em formas primárias."
3911,"Resinas de petróleo, resinas de cumarona-indeno, politerpenos, polissulfetos, polissulfonas e outros produtos mencionados na Nota 3 do presente Capítulo, não especificados nem compreendidos noutras posições, em formas primárias."
3912,"Celulose e seus derivados químicos, não especificados nem compreendidos noutras posições, em formas primárias."
39121,- Acetatos de celulose:
39123,- Éteres de celulose:
3913,"Polímeros naturais (ácido algínico, por exemplo) e polímeros naturaismodificados (por exemplo, proteínas endurecidas, derivados químicos da borracha natural), não especificados nem compreendidos noutras posições, em formas primárias."
3915,"Desperdícios, resíduos e aparas, de plásticos."
3916,"Monofilamentos cuja maior dimensão do corte transversal seja superiora 1 mm (monofios), varas, bastões e perfis, mesmo trabalhados à superfície, mas não trabalhados de outro modo, de plásticos."
3917,"Tubos e seus acessórios (por exemplo, juntas, cotovelos, flanges, uniões), de plásticos."
39172,- Tubos rígidos:
39173,- Outros tubos:
3918,"Revestimentos de pisos (pavimentos), de plásticos, mesmo auto-adesivos, em rolos ou em forma de ladrilhos ou de mosaicos; revestimentos de paredes ou de tetos, de plásticos, definidos na Nota 9 do presente Capítulo."
3919,"Chapas, folhas, tiras, fitas, películas e outras formas planas, auto-adesivas, de plásticos, mesmo em rolos."
3920,"Outras chapas, folhas, películas, tiras e lâminas, de plásticos não alveolares, não reforçadas nem estratificadas, sem suporte, nem associadas de forma semelhante a outras matérias."
39204,- De polímeros de cloreto de vinila:
39205,- De polímeros acrílicos:
39206,"- De policarbonatos, de resinas alquídicas, de poliésteres alílicos ou de outros poliésteres:"
39207,- De celulose ou dos seus derivados químicos:
39209,- De outros plásticos:
3921,"Outras chapas, folhas, películas, tiras e lâminas, de plásticos."
39211,- Produtos alveolares:
3922,"Banheiras, boxes para chuveiros, pias, lavatórios, bidés, sanitários e seus assentos e tampas, caixas de descarga e artigos semelhantes para usos sanitários ou higiênicos, de plásticos."
3923,"Artigos de transporte ou de embalagem, de plásticos; rolhas, tampas, cápsulas e outros dispositivos para fechar recipientes, de plásticos."
39232,"- Sacos de quaisquer dimensões, bolsas e cartuchos:"
3924,"Serviços de mesa e outros artigos de uso doméstico, de higiene ou de toucador, de plásticos."
3925,"Artefatos para apetrechamento de construções, de plásticos, não especificados nem compreendidos noutras posições."
3926,Outras obras de plásticos e obras de outras matérias das posições 39.01 a 39.14.
40,Borracha e suas obras
4001,"Borracha natural, balata, guta-percha, guaiúle, chicle e gomas naturais análogas, em formas primárias ou em chapas, folhas ou tiras."
40012,- Borracha natural noutras formas:
4002,"Borracha sintética e borracha artificial derivada dos óleos, em formas primárias ou em chapas, folhas ou tiras; misturas dos produtos da posição 40.01 com produtos da presente posição, em formas primárias ou em chapas, folhas ou tiras."
40021,- Borracha de estireno-butadieno (SBR); borracha de estireno-butadieno carboxilada (XSBR):
40023,- Borracha de isobuteno-isopreno (butila) (IIR); borracha de isobuteno-isopreno halogenada (CIIR ou BIIR):
40024,- Borracha de cloropreno (clorobutadieno) (CR):
40025,- Borracha de acrilonitrila-butadieno (NBR):
40029,- Outras:
4005,"Borracha misturada, não vulcanizada, em formas primárias ou em chapas, folhas ou tiras."
40059,- Outras:
4006,"Outras formas (por exemplo, varetas, tubos, perfis) e artigos (por exemplo, discos, arruelas), de borracha não vulcanizada."
4008,"Chapas, folhas, tiras, varetas e perfis, de borracha vulcanizada não endurecida."
40081,- De borracha alveolar:
40082,- De borracha não alveolar:
4009,"Tubos de borracha vulcanizada não endurecida, mesmo providos dos respectivos acessórios (por exemplo, juntas, cotovelos, flanges, uniões)."
40091,- Não reforçados com outras matérias nem associados de outra forma com outras matérias:
40092,- Reforçados apenas com metal ou associados de outra forma apenas commetal:
40093,- Reforçados apenas com matérias têxteis ou associados de outra formaapenas com matérias têxteis:
40094,- Reforçados com outras matérias ou associados de outra forma com outras matérias:
4010,"Correias transportadoras ou de transmissão, de borracha vulcanizada."
40101,- Correias transportadoras:
40103,- Correias de transmissão:
4011,"Pneumáticos novos, de borracha."
40116,"- Outros, com bandas de rodagem em forma de ""espinha de peixe"" ou semelhantes:"
40119,- Outros:
4012,"Pneumáticos recauchutados ou usados, de borracha; protetores, bandas de rodagem para pneumáticos e flaps, de borracha."
40121,- Pneumáticos recauchutados:
4013,Câmaras de ar de borracha.
4014,"Artigos de higiene ou de farmácia (incluindo as chupetas), de borracha vulcanizada não endurecida, mesmo com partes de borracha endurecida."
4015,"Vestuário e seus acessórios (incluindo as luvas, mitenes e semelhantes), de borracha vulcanizada não endurecida, para quaisquer usos."
40151,"- Luvas, mitenes e semelhantes:"
4016,Outras obras de borracha vulcanizada não endurecida.
40169,- Outras:
41,"Peles, exceto as peles com pelo, e couros"
4101,"Couros e peles em bruto de bovinos (incluindo os búfalos) ou de equídeos (frescos ou salgados, secos, tratados pela cal, piquelados ou conservados de outro modo, mas não curtidos, nem apergaminhados, nem preparados de outro modo), mesmo depilados ou div"
4102,"Peles em bruto de ovinos (frescas ou salgadas, secas, tratadas pela cal, piqueladas ou conservadas de outro modo, mas não curtidas, nem apergaminhadas, nem preparadas de outro modo), mesmo depiladas ou divididas, com exceção das excluídas pela Nota 1 c)"
41022,- Depiladas ou sem lã:
4103,"Outros couros e peles em bruto (frescos ou salgados, secos, tratados pela cal, piquelados ou conservados de outro modo, mas não curtidos, nem apergaminhados, nem preparados de outro modo), mesmo depilados ou divididos, com exceção dos excluídos pelas No"
4104,"Couros e peles curtidos ou crust, de bovinos (incluindo os búfalos) ou de equídeos, depilados, mesmo divididos, mas não preparados de outromodo."
41041,- No estado úmido (incluindo wet-blue):
41044,- No estado seco (crust):
4105,"Peles curtidas ou crust de ovinos, depiladas, mesmo divididas, mas não preparadas de outro modo."
4106,"Couros e peles, depilados, de outros animais e peles de animais desprovidos de pelos, curtidos ou crust, mesmo divididos, mas não preparados de outro modo."
41062,- De caprinos:
41063,- De suínos:
41069,- Outros:
4107,"Couros preparados após curtimenta ou após secagem e couros e peles apergaminhados, de bovinos (incluindo os búfalos) ou de equídeos, depilados, mesmo divididos, exceto os da posição 41.14."
41071,- Couros e peles inteiros:
41079,"- Outros, incluindo as tiras:"
4113,"Couros preparados após curtimenta ou após secagem e couros e peles apergaminhados, de outros animais, depilados, e couros preparados após curtimenta e couros e peles apergaminhados, de animais desprovidos de pelos, mesmo divididos, exceto os da posição"
4114,Couros e peles acamurçados (incluindo a camurça combinada); couros e peles envernizados ou revestidos; couros e peles metalizados.
4115,"Couro reconstituído, à base de couro ou de fibras de couro, em chapas, folhas ou tiras, mesmo enroladas; aparas e outros "
,"desperdícios de couros ou de peles preparados ou de couro reconstituído, não utilizáveispara fabricação de obras de couro; serragem,"
42,"Obras de couro; artigos de correeiro ou de seleiro; artigos de viagem, bolsas e artefatos semelhantes; obras de tripa"
4202,"Baús para viagem, malas e maletas, incluindo as de toucador e as maletas e pastas de documentos e para estudantes, os estojos para óculos, binóculos, câmeras fotográficas e de filmar, instrumentos musicais, armas e artefatos semelhantes; sacos de viagem"
42021,"- Baús para viagem, malas e maletas, incluindo as de toucador e as maletas e pastas de documentos e para estudantes e artefatos semelhantes:"
42022,"- Bolsas, mesmo com tiracolo, incluindo as que não possuam alças:"
42023,- Artigos do tipo dos normalmente levados nos bolsos ou em bolsas:
42029,- Outros:
4203,"Vestuário e seus acessórios, de couro natural ou reconstituído."
42032,"- Luvas, mitenes e semelhantes:"
43,Peles com pelo e suas obras; peles com pelo artificiais
4301,"Peles com pelo em bruto (incluindo as cabeças, caudas, patas e outraspartes utilizáveis na indústria de peles), exceto as peles em bruto das posições 41.01, 41.02 ou 41.03."
4302,"Peles com pelo curtidas ou acabadas (incluindo as cabeças, caudas, patas e outras partes, desperdícios e aparas), não reunidas (não montadas) ou reunidas (montadas) sem adição de outras matérias, com exceção das da posição 43.03."
43021,"- Peles com pelo inteiras, com ou sem cabeça, cauda ou patas, não reunidas (não montadas):"
4303,"Vestuário, seus acessórios e outros artefatos de peles com pelo."
44,"Madeira, carvão vegetal e obras de madeira"
4401,"Lenha em qualquer estado; madeira em estilhas ou em partículas; serragem, desperdícios e resíduos, de madeira, mesmo aglomerados em toras, briquetes, pellets ou em formas semelhantes."
44012,- Madeira em estilhas ou em partículas:
44013,"- Serragem, desperdícios e resíduos, de madeira, mesmo aglomerados emtoras, briquetes, pellets ou em formas semelhantes:"
4402,"Carvão vegetal (incluindo o carvão de cascas ou de caroços), mesmo aglomerado."
4403,"Madeira em bruto, mesmo descascada, desalburnada ou esquadriada."
44034,"- Outras, de madeiras tropicais mencionadas na Nota 2 de subposições do presente Capítulo:"
44039,- Outras:
4404,"Arcos de madeira; estacas fendidas; estacas aguçadas, não serradas longitudinalmente; madeira simplesmente desbastada ou arredondada, não torneada, não recurvada nem trabalhada de qualquer outro modo, para fabricação de bengalas, guarda-chuvas, cabos de"
4406,Dormentes de madeira para vias férreas ou semelhantes.
4407,"Madeira serrada ou fendida longitudinalmente, cortada transversalmente ou desenrolada, mesmo aplainada, lixada ou unida pelas extremidades,de espessura superior a 6 mm."
44072,- De madeiras tropicais mencionadas na Nota 2 de subposições do presente Capítulo:
44079,- Outras:
4408,"Folhas para folheados (incluindo as obtidas por corte de madeira estratificada), folhas para compensados ou para madeiras estratificadas semelhantes e outras madeiras, serradas longitudinalmente, cortadas transversalmente ou desenroladas, mesmo aplainad"
44083,- De madeiras tropicais mencionadas na Nota 2 de subposições do presente Capítulo:
4409,"Madeira (incluindo os tacos e frisos de parquê, não montados) perfilada (com espigas, ranhuras, filetes, entalhes, chanfrada, com juntas emV, com cercadura, boleada ou semelhantes) ao longo de uma ou mais bordas, faces ou extremidades, mesmo aplainada,"
44092,- De não coníferas:
4410,"Painéis de partículas, painéis denominados oriented strand board (OSB) e painéis semelhantes (wafer board, por exemplo), de madeira ou de outras matérias lenhosas, mesmo aglomeradas com resinas ou com outros aglutinantes orgânicos."
44101,- De madeira:
4411,"Painéis de fibras de madeira ou de outras matérias lenhosas, mesmo aglomeradas com resinas ou com outros aglutinantes orgânicos."
44111,- Painéis de média densidade (denominados MDF):
44119,- Outros:
4412,"Madeira compensada, madeira folheada, e madeiras estratificadas semelhantes."
44123,"- Outras madeiras compensadas, constituídas exclusivamente por folhasde madeira (exceto de bambu) cada uma das quais de espessura não superior a 6 mm:"
44129,- Outras:
4415,"Caixotes, caixas, engradados, barricas e embalagens semelhantes, de madeira; carretéis para cabos, de madeira; paletes simples, paletes-caixas e outros estrados para carga, de madeira; taipais de paletes de madeira."
4418,"Obras de marcenaria ou de carpintaria para construções, incluindo os painéis celulares, os painéis montados para revestimento de pisos (pavimentos) e as fasquias para telhados (shingles e shakes), de madeira."
44187,- Painéis montados para revestimento de pisos (pavimentos):
4420,"Madeira marchetada e madeira incrustada; estojos e guarda-jóias para joalheria e ourivesaria, e obras semelhantes, de madeira; estatuetas eoutros objetos de ornamentação, de madeira; artigos de mobiliário, demadeira, que não se incluam no Capítulo 94."
4421,Outras obras em madeira.
45,Cortiça e suas obras
4501,"Cortiça natural, em bruto ou simplesmente preparada; desperdícios de cortiça; cortiça triturada, granulada ou pulverizada."
4503,Obras de cortiça natural.
4504,Cortiça aglomerada (com ou sem aglutinantes) e suas obras.
46,Obras de espartaria ou de cestaria
4601,"Tranças e artigos semelhantes, de matérias para entrançar, mesmo reunidos em tiras; matérias para entrançar, tranças e artigos semelhantes de matérias para entrançar, tecidos ou paralelizados, em formas planas, mesmo acabados (por exemplo, esteiras, cap"
46012,"- Esteiras, capachos e divisórias, de matérias vegetais:"
46019,- Outros:
4602,Obras de cestaria obtidas diretamente na sua forma a partir de matérias para entrançar ou fabricadas com artigos da posição 46.01; obras debucha.
46021,- De matérias vegetais:
47,Pastas de madeira ou de outras matérias fibrosas celulósicas; papel ou cartão para reciclar (desperdícios e aparas)
4703,"Pastas químicas de madeira, à soda ou ao sulfato, exceto pastas para dissolução."
47031,- Cruas:
47032,- Semibranqueadas ou branqueadas:
4704,"Pastas químicas de madeira, ao bissulfito, exceto pastas para dissolução."
47041,- Cruas:
47042,- Semibranqueadas ou branqueadas:
4706,Pastas de fibras obtidas a partir de papel ou de cartão reciclados (desperdícios e aparas) ou de outras matérias fibrosas celulósicas.
47069,- Outras:
4707,Papel ou cartão para reciclar (desperdícios e aparas).
48,"Papel e cartão; obras de pasta de celulose, de papel ou de cartão"
4802,"Papel e cartão, não revestidos, dos tipos utilizados para escrita, impressão ou outros fins gráficos, e papel e cartão para fabricar cartões ou tiras perfurados, não perfurados, em rolos ou em folhas de forma quadrada ou retangular, de quaisquer formato"
48025,"- Outros papéis e cartões, sem fibras obtidas por processo mecânico ou químico-mecânico ou em que a percentagem destas fibras não seja superior a 10 %, em peso, do conteúdo total de fibras:"
48026,"- Outros papéis e cartões, em que mais de 10 %, em peso, do conteúdo total de fibras seja constituído por fibras obtidas por processo mecânico ou químico-mecânico:"
4804,"Papel e cartão Kraft, não revestidos, em rolos ou em folhas, exceto os das posições 48.02 e 48.03."
48041,"- Papel e cartão para cobertura, denominados Kraftliner:"
48042,- Papel Kraft para sacos de grande capacidade:
48043,- Outros papéis e cartões Kraft de peso não superior a 150 g/m2:
48044,"- Outros papéis e cartões Kraft de peso superior a 150 g/m2, mas inferior a 225 g/m2:"
